ID,State,Clinton,Trump,Trump Wins,Clinton Wins,Tie,Others
1,Arizona,0.45,0.49,0.04,0,,0.06
1,Colorado,0.48,0.43,0,0.05,,0.09
1,Florida,0.48,0.49,0.01,0,,0.03
1,Iowa,0.42,0.51,0.09,0,,0.07
1,Maine,0.48,0.45,0,0.03,,0.07
1,Michigan,0.47,0.48,0.01,0,,0.05
1,Minnesota,0.46,0.45,0,0.01,,0.09
1,Nevada,0.48,0.46,0,0.02,,0.07
1,New Hampshire,0.47,0.47,0,0,1,0.07
1,North Carolina,0.46,0.5,0.04,0,,0.04
1,Ohio,0.44,0.52,0.08,0,,0.05
1,Pennsylvania,0.48,0.49,0.01,0,,0.04
1,Wisconsin,0.47,0.47,0,0,1,0.06
1,Alabama,0.34,0.62,0.28,0,,0.04
1,Alaska,0.37,0.51,0.14,0,,0.12
1,Arkansas,0.34,0.61,0.27,0,,0.06
1,California,0.62,0.32,0,0.3,,0.07
1,Connecticut,0.55,0.41,0,0.14,,0.05
1,Delaware,0.53,0.42,0,0.11,,0.05
1,District of Columbia,0.91,0.04,0,0.87,,0.05
1,Georgia,0.46,0.51,0.05,0,,0.03
1,Hawaii,0.62,0.3,0,0.32,,0.08
1,Idaho,0.28,0.59,0.31,0,,0.13
1,Illinois,0.56,0.39,0,0.17,,0.05
1,Indiana,0.38,0.57,0.19,0,,0.05
1,Kansas,0.36,0.57,0.21,0,,0.07
1,Kentucky,0.33,0.63,0.3,0,,0.05
1,Louisiana,0.38,0.58,0.2,0,,0.04
1,Maryland,0.6,0.34,0,0.26,,0.06
1,Massachusetts,0.6,0.33,0,0.27,,0.07
1,Mississippi,0.4,0.58,0.18,0,,0.02
1,Missouri,0.38,0.57,0.19,0,,0.05
1,Montana,0.36,0.56,0.2,0,,0.08
1,Nebraska,0.34,0.59,0.25,0,,0.08
1,New Jersey,0.56,0.41,0,0.15,,0.03
1,New Mexico,0.48,0.4,0,0.08,,0.12
1,New York,0.59,0.37,0,0.22,,0.05
1,North Dakota,0.27,0.63,0.36,0,,0.1
1,Oklahoma,0.29,0.65,0.36,0,,0.06
1,Oregon,0.5,0.39,0,0.11,,0.11
1,Rhode Island,0.54,0.39,0,0.15,,0.07
1,South Carolina,0.41,0.55,0.14,0,,0.04
1,South Dakota,0.32,0.62,0.3,0,,0.07
1,Tennessee,0.35,0.61,0.26,0,,0.05
1,Texas,0.43,0.52,0.09,0,,0.05
1,Utah,0.28,0.46,0.18,0,,0.27
1,Vermont,0.57,0.3,0,0.27,,0.13
1,Virginia,0.5,0.44,0,0.06,,0.06
1,Washington,0.52,0.36,0,0.16,,0.12
1,West Virginia,0.27,0.69,0.42,0,,0.05
1,Wyoming,0.22,0.68,0.46,0,,0.1
